City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
96,Itoman,JP,296.16,light rain,26.1247,127.6694,
97,Bud,US,299.12,overcast clouds,39.447,-86.1758,
98,Talnakh,RU,274.38,overcast clouds,69.4865,88.3972,
99,Laje,BR,294.71,broken clouds,-10.1833,-40.9667,
100,Dargaville,NZ,286.16,overcast clouds,-35.9333,173.8833,
101,Krasnoselkup,RU,275.45,overcast clouds,65.7,82.4667,
102,Saint-Philippe,RE,293.92,broken clouds,-21.3585,55.7679,
103,Yulara,AU,281.2,scattered clouds,-25.2406,130.9889,
104,Vila Velha,BR,296.12,clear sky,-20.3297,-40.2925,
105,Tasiilaq,GL,275.81,overcast clouds,65.6145,-37.6368,
107,Maputo,MZ,291.61,clear sky,-25.9653,32.5892,
108,Puerto Ayora,EC,297.13,broken clouds,-0.7393,-90.3518,
109,Martapura,ID,297.2,overcast clouds,-3.4167,114.85,
110,Praia Da Vitoria,PT,295.29,scattered clouds,38.7333,-27.0667,
111,Constitucion,CL,286.08,broken clouds,-35.3333,-72.4167,
112,Sao Filipe,CV,297.12,clear sky,14.8961,-24.4956,
113,Uvira,CD,295.42,scattered clouds,-3.4067,29.1458,
114,Lanxi,CN,293.38,overcast clouds,29.2195,119.477,
115,Qaanaaq,GL,272.82,light snow,77.484,-69.3632,
117,Brighton,GB,287.82,broken clouds,50.8284,-0.1395,
119,Wangqing,CN,281.12,overcast clouds,43.3218,129.7634,
121,Severo-Kurilsk,RU,280.12,overcast clouds,50.6789,156.125,
123,Suez,EG,296.99,broken clouds,29.9737,32.5263,
124,Odweyne,SO,295.72,overcast clouds,9.4092,45.064,
126,Soyo,AO,296.68,overcast clouds,-6.1349,12.3689,
127,Uyuni,BO,281.98,clear sky,-20.4597,-66.825,
128,Miracatu,BR,294.39,overcast clouds,-24.2814,-47.4597,
129,Kupang,ID,298.24,broken clouds,-10.1667,123.5833,
130,Kosh-Agach,RU,278.85,overcast clouds,50.0,88.6667,
131,Ponta Delgada,PT,292.55,broken clouds,37.7333,-25.6667,
132,Ostrovnoy,RU,278.24,overcast clouds,68.0531,39.5131,
133,Ketchikan,US,285.12,light rain,55.3422,-131.6461,
135,Mitzic,GA,293.48,light rain,0.7821,11.549,
136,Cherskiy,RU,277.91,scattered clouds,68.75,161.3,
137,Paita,PE,293.67,clear sky,-5.0892,-81.1144,
138,Hanmer Springs,NZ,281.59,light rain,-42.5167,172.8167,
139,Fergus Falls,US,295.46,clear sky,46.283,-96.0776,
142,Saldanha,ZA,288.18,broken clouds,-33.0117,17.9442,
143,Piracuruca,BR,297.5,scattered clouds,-3.9281,-41.7092,
144,Envira,BR,299.7,overcast clouds,-7.3,-70.2167,
145,Boshnyakovo,RU,282.91,few clouds,49.6333,142.1667,
146,Komsomolskiy,UZ,296.55,clear sky,40.4272,71.7189,
147,Ahipara,NZ,287.77,broken clouds,-35.1667,173.1667,
150,Poum,NC,297.89,overcast clouds,-20.2333,164.0167,
151,Jiuquan,CN,289.65,clear sky,39.7432,98.5174,
152,Torbay,CA,288.58,broken clouds,47.6666,-52.7314,
153,Medeiros Neto,BR,292.82,few clouds,-17.3739,-40.2206,
155,Hamilton,US,298.2,thunderstorm,39.1834,-84.5333,
156,San Miguel De Cauri,PE,284.26,broken clouds,-10.1,-76.5833,
158,Atuona,PF,298.76,few clouds,-9.8,-139.0333,
159,Ribeira Grande,PT,292.37,broken clouds,38.5167,-28.7,
160,Port Elizabeth,ZA,283.31,clear sky,-33.918,25.5701,
162,Lobito,AO,296.54,broken clouds,-12.3481,13.5456,
163,Tarnobrzeg,PL,292.5,overcast clouds,50.573,21.6794,
164,Bluff,NZ,281.37,overcast clouds,-46.6,168.3333,
165,Nikolskoye,RU,284.09,few clouds,59.7035,30.7861,
166,Chapeco,BR,288.01,moderate rain,-27.0964,-52.6183,
167,Kaitangata,NZ,282.77,light rain,-46.2817,169.8464,
168,Vanimo,PG,297.79,broken clouds,-2.6741,141.3028,
169,Chuy,UY,284.96,overcast clouds,-33.6971,-53.4616,
170,Lakefield,US,294.99,scattered clouds,43.6775,-95.1717,
172,Zhuzhou,CN,298.22,overcast clouds,27.8333,113.15,
173,Ulladulla,AU,283.65,clear sky,-35.35,150.4667,
174,Tuatapere,NZ,281.82,overcast clouds,-46.1333,167.6833,
175,Hualmay,PE,292.65,scattered clouds,-11.0964,-77.6139,
176,Luena,AO,284.69,overcast clouds,-11.7833,19.9167,
178,Mnogovershinnyy,RU,287.58,overcast clouds,53.9353,139.9242,
179,Kensington,AU,284.89,few clouds,-33.9167,151.2167,
